,evaluation record
0,-27096.935402929612
1,-28890.414739477797
2,-25578.702592071804
3,-23756.79939687588
4,-12130.725129489816
5,-22135.1671119816
6,-32221.453545798267
7,-35220.34027562877
8,-37384.014136073594
9,-66270.20211420693
10,-31776.576352319204
11,-30163.11973272436
12,-45563.991579939175
13,-38814.131768535706
14,-48553.114745126506
15,-25890.424463505333
16,-28673.085020823582
17,-30428.105110092092
18,-26505.65815679954
19,-20559.605812767662
20,-18412.964823003327
21,-12783.481206866416
22,-11524.890827595946
23,-20403.75829964766
24,-14108.386804102418
25,-10025.57576717768
26,-12636.533956451878
27,-7795.621499268837
28,-13111.770674936124
29,-5085.4511259527
30,-7779.155778823094
31,-10101.319927055161
32,-12584.994592492849
33,-5881.966436764931
34,-13259.949225918806
35,-16649.49718482039
36,-8463.33536744616
37,-9402.915989954945
38,-8382.022060808067
39,-11970.91662834848
40,-8087.6698456385675
41,-11798.168064634607
42,-7097.158750172377
43,-7882.810538353014
44,-4276.706190002644
45,-6453.443229079187
46,-6820.2106649515545
47,-7943.229315977103
48,-7080.967943120128
49,-11606.565408857905
50,-13853.309576333726
51,-6610.469840603434
52,-6251.278287793551
53,-6363.846414920051
54,-4257.196303338758
55,-4600.21370608629
56,-6093.801679537017
57,-10090.123618766338
58,-4799.0653605934085
59,-3503.0119311496037
60,-3529.3334625391453
61,-4939.090940094777
62,-6776.422277889754
63,-3984.7064379124677
64,-4795.386346741264
65,-2915.569075159625
66,-3427.0032036857847
67,-2206.4409608660903
68,-4174.902454645654
69,-3869.5514497657637
70,-3986.7680058398178
71,-7777.214567117354
72,-4305.372258359781
73,-3069.6225041599846
74,-2761.3206341590853
75,-2950.9419100784057
76,-3981.576077900674
77,-3182.096955009163
78,-3328.5930855765932
79,-4110.646153261282
80,-5371.9113885990055
81,-3930.808731449101
82,-3563.6266699277166
83,-5234.365503938893
84,-3673.9786708596007
85,-2798.807296581865
86,-3356.082482427258
87,-6215.464510938538
88,-3063.8961734905747
89,-3576.6467925051606
90,-3977.348263639223
91,-3160.995821961837
92,-4047.171968945684
93,-3529.7415879791556
94,-2506.7944169050593
95,-2851.8949901612536
96,-1841.4315971234691
97,-2877.720715304478
98,-2201.807199745443
99,-4285.589224828766
100,-3355.287202137782
101,-1854.966437906405
102,-4221.221967733975
103,-4043.2262478874923
104,-3085.057778424841
105,-3721.9652117284845
106,-2888.9493198486357
107,-1522.7077234305955
108,-2358.676663956704
109,-4266.947500641784
110,-1668.2208558575667
111,-3653.395426753544
112,-1481.6693725084217
113,-1820.9777584503706
114,-2294.3644538716917
115,-2890.7545873438908
116,-2056.851268047642
117,-1796.453633911964
118,-1829.7479844925022
119,-3865.8309372323815
120,-2322.2428256091266
121,-2814.0925582412765
122,-3018.15824615661
123,-2203.924088078343
124,-2491.9457685028233
125,-4940.673329350427
126,-3651.3496787387817
127,-3073.4677391348014
128,-2368.037902218866
129,-3564.0175579819406
130,-2565.361393342599
131,-3775.091999317701
132,-2863.1451744905457
133,-2823.695588348261
134,-3759.3751181659427
135,-3080.36167759509
136,-3102.8612330846677
137,-5014.500646515353
138,-2394.7856752421735
139,-3119.2342885724775
140,-3348.910239226469
141,-2908.2565402839477
142,-1908.22731956822
143,-1771.8595119345946
144,-2806.9823239851735
145,-2108.6457232850585
146,-2217.7845186641553
147,-2326.6255917205285
148,-3824.878031534594
149,-7588.313290864393
150,-2836.9959489475095
151,-2400.520154023816
152,-2389.975970695458
153,-3082.945471353694
154,-1727.394057044986
155,-2228.1210003064202
156,-1319.5104860653553
157,-2994.219791391606
158,-2623.0946877836896
159,-3053.6922892880243
160,-3674.269447042931
161,-2267.135491710695
162,-2254.4052339302766
163,-2107.1191054801343
164,-3002.9584958641867
165,-3574.097475905166
166,-2430.4653509836953
167,-4462.636671070528
168,-3793.4367398677205
169,-2906.281633733965
170,-3923.1620965598663
171,-1921.3556517306015
172,-2315.1020576186947
173,-1784.484740999366
174,-3561.540090566869
175,-2089.0586472860195
176,-2197.150776417929
177,-1561.0649070181632
178,-4119.839976432169
179,-9471.602505667806
180,-1575.4773469383729
181,-1747.403717738104
182,-2753.3458664529785
183,-3113.146868573542
184,-1492.5714767455445
185,-2139.2925587880636
186,-1383.9854365319516
187,-2127.98912321303
188,-2515.7546926072187
189,-3477.122390688613
190,-2356.3463901095406
191,-1083.8377352196983
192,-1592.0724896879601
193,-2753.4754206760967
194,-1815.0950209662433
195,-5428.898788218776
196,-3347.2355736885456
197,-5001.8724311833785
198,-3694.1516670999704
199,-2125.2940233730606
200,-2164.359369823679
201,-1841.387735360202
202,-3006.9983538614865
203,-2054.6903282792705
204,-2830.690485044921
205,-1179.1848875167384
206,-2719.2185742722572
207,-1416.6415177576366
208,-3383.591396550292
209,-1689.974479889908
210,-3946.7885631396384
211,-2000.4700111873472
212,-1738.1029929494628
213,-3904.9762131985626
214,-4623.127540900677
215,-3389.6252842299023
216,-3229.8921395457105
217,-2376.5825027086416
218,-2974.0799990943883
219,-1919.9610623357278
220,-2802.4986308987422
221,-1726.2572519255934
222,-3001.7081844329155
223,-4368.561482776637
224,-2766.6762472598025
225,-2944.9853231276866
226,-1846.1647780862338
227,-1981.790583962085
228,-2215.231819685757
229,-3973.2412025001468
230,-1294.1962409835512
231,-2240.847396872406
232,-3215.5825361953143
233,-2732.498237649091
234,-3885.619304704794
235,-3207.5877254686948
236,-1180.8544288899582
237,-2946.876659130014
238,-2043.6956460823146
239,-1447.4707750228436
240,-3300.811584522944
241,-3509.329614533685
242,-1272.9947507149996
243,-2141.454609865653
244,-1269.954098046184
245,-2677.9899469981606
246,-2816.9118485459744
247,-1844.0131446608684
248,-3322.2414739294695
249,-2556.621657893533
250,-2588.958382286357
251,-2739.1445785963483
252,-2973.4108169516426
253,-1453.670786619816
254,-5027.359247579813
255,-2096.3446544891685
256,-2202.8202135865336
257,-1949.6196682009133
258,-1835.0545683380958
259,-3584.395140039629
260,-2162.5496386925356
261,-2225.8867871531047
262,-2485.6654301449557
263,-2161.039891075922
264,-3100.0565241192794
265,-3073.947550188314
266,-2424.0213571087947
267,-2032.1078494895846
268,-1729.3828426077164
269,-1745.9170795043212
270,-3860.6807515587075
271,-1450.7887435423825
272,-2553.3381254952105
273,-2380.1122310622754
274,-2572.440537864233
275,-4250.083888172333
276,-1449.7624724220086
277,-2090.487814293173
278,-4169.368011825415
279,-2875.5096311393377
280,-3040.513519312664
281,-4373.037533323317
282,-2961.0341621479306
283,-2924.224964020028
284,-3676.4933373885265
285,-1908.871489631835
286,-1947.5776469484229
287,-4146.120153282723
288,-2561.273559924541
289,-3487.78543454751
290,-2279.403797316151
291,-3681.6735455371304
292,-2140.2930551989566
293,-1389.7337592890626
294,-3448.8815429551523
295,-2247.928917326312
296,-2091.9327062148122
297,-2658.403525798755
298,-2541.8557008172015
299,-2573.856614876325
300,-3330.4210190266917
301,-2737.8039207597317
302,-1448.1341901031203
303,-3158.999654827323
304,-1984.9249604880579
305,-1255.0524928035443
306,-1815.4337450957019
307,-1794.9874983502516
308,-2762.2545361059106
309,-1871.2044346481136
310,-1905.3080796141678
311,-2183.5891134214626
312,-2147.271872644934
313,-2150.31342586474
314,-1629.362564467319
315,-3021.1747157502473
316,-2801.498169819617
317,-2304.5930395435175
318,-2719.2253670432688
319,-4468.147397004691
320,-2421.195344829333
321,-3189.9576587584247
322,-3198.0606748212754
323,-1462.0066959447583
324,-4612.855158518183
325,-2108.186940902368
326,-2435.7411037763745
327,-4073.408990371215
328,-2533.9000816050257
329,-2170.686850259371
330,-2244.1604245101194
331,-2852.8881877796307
